State,County,Total Population,Young Children (0–4 years),Children (5–14 years),Adolescents (15–19 years),Young Adults (20–24 years),Emerging Workforce (25–34 years),Prime Working Age (35–54 years),Pre-Retirement (55–64 years),Seniors (65+ years),Diversity Index,Hispanic or Latino Population,Non-Hispanic or Latino Population,Hispanic or Latino Percentage,Non-Hispanic or Latino Percentage,State_Abbr
Arkansas,Calhoun County,4717.0,172.0,510.0,361.0,288.0,531.0,1066.0,765.0,1024.0,0.35432757145375915,544.0,4173.0,11.532753868984525,88.46724613101547,AR
Arkansas,Carroll County,28526.0,1472.0,3576.0,1997.0,1138.0,2982.0,6517.0,4204.0,6640.0,0.42302261682803544,4423.0,24103.0,15.505153193577788,84.49484680642222,AR
Arkansas,Chicot County,9997.0,602.0,1248.0,612.0,558.0,1090.0,2286.0,1435.0,2166.0,0.545033250897546,628.0,9369.0,6.2818845653696105,93.71811543463039,AR
Arkansas,Clark County,21378.0,1069.0,2433.0,2464.0,3035.0,2337.0,4192.0,2378.0,3470.0,0.4576818974508722,1146.0,20232.0,5.360651136682571,94.63934886331742,AR
Arkansas,Clay County,14399.0,804.0,1728.0,842.0,757.0,1793.0,3325.0,2011.0,3139.0,0.11312366825097397,120.0,14279.0,0.8333912077227585,99.16660879227724,AR
Arkansas,Cleburne County,25048.0,1078.0,2733.0,1379.0,1155.0,2366.0,5528.0,3980.0,6829.0,0.10761377758663782,713.0,24335.0,2.8465346534653464,97.15346534653466,AR
Arkansas,Cleveland County,7491.0,297.0,931.0,608.0,282.0,797.0,1867.0,1142.0,1567.0,0.27873797419984125,23.0,7468.0,0.30703510879722334,99.69296489120278,AR
Arkansas,Columbia County,22527.0,1400.0,2696.0,2065.0,2280.0,2899.0,4631.0,2657.0,3899.0,0.5026621452894212,757.0,21770.0,3.3604119501043193,96.63958804989568,AR
Arkansas,Conway County,20872.0,1140.0,2855.0,1066.0,1234.0,2424.0,4936.0,3125.0,4092.0,0.3129104394509027,950.0,19922.0,4.551552318896129,95.44844768110387,AR
Arkansas,Craighead County,112097.0,7579.0,15953.0,8444.0,8409.0,16579.0,27479.0,12263.0,15391.0,0.4318055733134888,6899.0,105198.0,6.154491199586073,93.84550880041392,AR
Arkansas,Crawford County,60792.0,3667.0,8340.0,4002.0,3400.0,7649.0,14932.0,8179.0,10623.0,0.2998996178028217,4950.0,55842.0,8.14251875246743,91.85748124753258,AR
Arkansas,Crittenden County,47609.0,3483.0,7253.0,3456.0,2984.0,6140.0,11282.0,5950.0,7061.0,0.576395078917618,1476.0,46133.0,3.100254153626415,96.89974584637359,AR
Arkansas,Cross County,16681.0,1049.0,2282.0,1068.0,822.0,1933.0,4202.0,2228.0,3097.0,0.43943177873682926,367.0,16314.0,2.200107907199808,97.79989209280019,AR
Arkansas,Dallas County,6351.0,315.0,625.0,470.0,342.0,714.0,1353.0,946.0,1586.0,0.5279591887988856,92.0,6259.0,1.4485907731065975,98.5514092268934,AR
Arkansas,Desha County,11041.0,738.0,1556.0,681.0,563.0,1179.0,2633.0,1522.0,2169.0,0.5594878468025917,765.0,10276.0,6.928720224617336,93.07127977538266,AR
Arkansas,Drew County,17143.0,1003.0,2060.0,1826.0,1286.0,1909.0,3796.0,2186.0,3077.0,0.49278923083970905,706.0,16437.0,4.118299014174882,95.88170098582512,AR
Arkansas,Faulkner County,126001.0,7414.0,16129.0,9808.0,14200.0,17335.0,30216.0,13975.0,16924.0,0.34485397647096716,6949.0,119052.0,5.515035594955596,94.48496440504441,AR
Arkansas,Franklin County,17220.0,923.0,2198.0,1105.0,898.0,1858.0,4348.0,2396.0,3494.0,0.24479181083498236,548.0,16672.0,3.1823461091753775,96.81765389082462,AR
Arkansas,Fulton County,12239.0,582.0,1404.0,763.0,534.0,1119.0,2696.0,1967.0,3174.0,0.13377049537541852,208.0,12031.0,1.699485252063077,98.30051474793693,AR
Arkansas,Garland County,100062.0,5252.0,11160.0,5589.0,5137.0,10894.0,23371.0,14355.0,24304.0,0.29238528305610767,7179.0,92883.0,7.174551777897704,92.8254482221023,AR
